Survey Version,Date Added To Spreadsheet,StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,Q_RecaptchaScore,2,2b,3,4,5,6,7,8,8_8_TEXT,9,9_7_TEXT,10,10_8_TEXT,11,11_6_TEXT,12_1,12_2,12_3,12_4,12_5,12_6,12_7,12_8,12_8_TEXT,12_9,13_1,13_2,13_3,13_4,13_5,13_6,13_7,13_7_TEXT,13_8,13_9,14,14_10_TEXT,15_1,15_2,15_3,15_4,15_5,15_6,15_7,15_8,15_9,15_10,15_10_TEXT,15_11,16,16_4_TEXT,17,18,18_10_TEXT,19,19_5_TEXT,20,20_5_TEXT,21,22,22_5_TEXT,53,53_7_TEXT,54,55,56,57,57_6_TEXT,58,59,60,61,61_6_TEXT,62,63,63_4_TEXT,64,64_5_TEXT,23,23_10_TEXT,24_1,24_2,24_3,24_4,24_5,24_6,24_7,24_8,24_9,24_10,24_10_TEXT,24_11,25,25_4_TEXT,26,27,28,28_10_TEXT,29,29_11_TEXT,30,30_5_TEXT,31,32,32_5_TEXT,33,33_6_TEXT,34_1,34_2,34_3,34_4,34_5,34_6,34_6_TEXT,34_7,35,35_4_TEXT,36,37,38,39,39_12_TEXT,40,40_12_TEXT,41,41_5_TEXT,42,43,43_5_TEXT,44,44_7_TEXT,45_1,45_2,45_3,45_4,45_5,45_6,45_7,45_7_TEXT,45_8,46_1,46_2,46_3,46_4,46_5,46_6,46_7,46_7_TEXT,46_8,47,47_10_TEXT,48,48_12_TEXT,49,49_10_TEXT,50,50_5_TEXT,51,52,52_5_TEXT,WeatherEvent,TimePer,Participant ID
English V1,11/6/2025 9:33 AM PST,11/5/2025 9:37:38,11/5/2025 9:47:37,100,599,True,11/5/2025 9:47:38,R_1PZAoH7SlSiN6VB,1,Other,70129,Over 20 years,Yes,"Yes, I consent to participate in this study and am at least 18 years of age.",Both equally important,Before the event (preparation),"Uninsured home damage,Uninsured car,Uninsured furniture or other assets,Inability to work due to weather,Loss of income",,"In person (i.e., word of mouth),Radio,Smartphone,Tablet,Television",,"Community sources (e.g., friends, family, social groups)",,"Community sources (e.g., friends, family, social groups),Local news (e.g., TV, radio),Social media (e.g., Facebook, Twitter/X, Instagram, Nextdoor app)",,Extremely,,,,,,,,,,,Extremely,,Very,Very,,,,,,"Evacuation orders/mandatory notices,Guidance on protecting property (e.g., flood proofing, insurance, pets),Rainfall forecast,Shelter opening,Sandbag pickup,School and workplace closure notices",,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,,,,,,"Nola Ready (City of New Orleans),Utility providers (e.g., Entergy)",,Very influential,"Local news station apps (e.g., 4WWL),NOLA Ready,Social media (e.g., Facebook, Instagram, Twitter/X)",,"Conflicting information from different sources,Difficulty finding neighborhood-level information,Information is too too difficult to understand,Information is not available in my language",,"Clearer written instructions (e.g., flood safety tips, shelter guidelines),In-person support (e.g., local organizers),Trusted messengers (e.g., community organizations)",,Sometimes,Vietnamese,,"Faith-based organizations,Other (please specify)","Song Community development Corp. , VIET, and NOELA",I own my home.,No,Yes,,,35-54,"High school diploma, GED, or equivalent (e.g., Secondary school or preparatory school diploma)","Less than $10,000",Asian,,No,Female,,"Hearing difficulty,Vision difficulty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intense flood,before,4721292
English V1,11/6/2025 9:33 AM PST,11/6/2025 8:25:37,11/6/2025 8:35:51,100,614,True,11/6/2025 8:35:52,R_1IQBRqtTIEeNUZW,1,70118,,Over 20 years,Yes,"Yes, I consent to participate in this study and am at least 18 years of age.",Both equally important,Before the event (preparation),"Uninsured home damage,Insurance not fully covering car damage,Insurance deductible",,"Computer/laptop,In person (i.e., word of mouth),Radio,Smartphone,Television",,"Local news (e.g., TV, radio)",,"Online search (e.g., Google, Safari)",,,,Very,,,,,,,,,,,,,Very,,,,,"Evacuation orders/mandatory notices,Guidance on protecting property (e.g., flood proofing, insurance, pets),Rainfall forecast,Rules about parking on neutral ground",,Very easy,Somewhat easy,Somewhat easy,Somewhat easy,,,,,,,,,"National Weather Service,Nola Ready (City of New Orleans),Utility providers (e.g., Entergy)",,Moderately influential,"Local news station apps (e.g., 4WWL),NOLA Ready,Nextdoor App",,"Difficulty finding neighborhood-level information,Power outages",,"Clearer visual resources (e.g., flood maps, potential road closures, distribution points),Multiple, accessible formats (e.g., visuals, videos, large print, screen readers, captions),Trusted messengers (e.g., community organizations)",,Sometimes,Not applicable,,"Faith-based organizations,Neighborhood associations",,I own my home.,Yes,Yes,"Car insurance,Homeowner’s Insurance,Health Insurance,Life insurance",,65+,"Bachelor’s Degree (e.g., 4-year university)","$10,000 to $14,999",Black or African American,,No,Female,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intense flood,before,43514254
English V1,11/6/2025 9:33 AM PST,11/6/2025 8:24:14,11/6/2025 8:38:28,100,853,True,11/6/2025 8:38:28,R_6fEc0RvbtZ89uTX,1,70115,,1-5 years,Yes,"Yes, I consent to participate in this study and am at least 18 years of age.",Both equally important,Before the event (preparation),Other (please specify),The well-being of people ,"Computer/laptop,Radio,Smartphone,Tablet,Television",,"Community sources (e.g., friends, family, social groups)",,"Local news (e.g., TV, radio)",,Moderately,,,,,,,,,,,,,Very,,,,,,,"Evacuation orders/mandatory notices,Guidance on protecting property (e.g., flood proofing, insurance, pets),Rainfall forecast,Shelter opening,Sandbag pickup,School and workplace closure notices,Status of drainage pumps,Transportation updates (e.g., public transit, road closures),Other (please specify)",Housing if I'm misplaced ,Somewhat easy,Neither easy nor difficult,Very easy,,Very easy,Very easy,Somewhat easy,Neither easy nor difficult,Somewhat difficult,Somewhat difficult,,,"National Weather Service,Other (please specify)",Fox8 Live ,Very influential,"Local news station apps (e.g., 4WWL)",,I have not faced challenges in accessing information in the event of flash floods or hurricanes.,,"Clearer written instructions (e.g., flood safety tips, shelter guidelines),Clearer visual resources (e.g., flood maps, potential road closures, distribution points),Local, neighborhood-scale information,Multiple, accessible formats (e.g., visuals, videos, large print, screen readers, captions),Trusted messengers (e.g., community organizations)",,Often,Not applicable,,I am not affiliated with any community organizations.,,I do not rent or own my home.,No,No,,,35-54,Some college,"Less than $10,000",Black or African American,,No,Male,,Vision difficulty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intense flood,before,14343133
English V1,11/6/2025 9:33 AM PST,11/6/2025 8:22:14,11/6/2025 8:42:04,100,1190,True,11/6/2025 8:42:05,R_7QKHRbTcRRVasfg,1,70118,,Over 20 years,Yes,"Yes, I consent to participate in this study and am at least 18 years of age.",Both equally important,Before the event (preparation),Insurance not fully covering home damage,,Television,,Text alerts or emergency notifications,,"Local government (e.g., city, state)",,,,,,,,Extremely,,,,,,Extremely,,,,,,,,"Evacuation orders/mandatory notices,Guidance on protecting property (e.g., flood proofing, insurance, pets),Shelter opening,Transportation updates (e.g., public transit, road closures)",,Very easy,Very easy,,,Very easy,,,,Very easy,,,,"Nola Ready (City of New Orleans),Utility providers (e.g., Entergy)",,Extremely influential,"Local news station apps (e.g., 4WWL),NOLA Ready",,Power outages,,"Local, neighborhood-scale information",,Always,Not applicable,,Neighborhood associations,,I own my home.,Yes,Yes,Homeowner’s Insurance,,65+,"Less than a high school diploma (e.g., Secondary school or preparatory school diploma), or equivalent",Prefer not to answer,Black or African American,,,Female,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intense flood,before,43774196
English V1,11/6/2025 9:33 AM PST,11/6/2025 8:38:45,11/6/2025 8:55:44,100,1018,True,11/6/2025 8:55:44,R_1iUO7w33W3YrXaG,1,Other,70058,Over 20 years,Yes,"Yes, I consent to participate in this study and am at least 18 years of age.",Both equally important,Before the event (preparation),"Insurance not fully covering home damage,Insurance not fully covering car damage,Insurance deductible",,"Computer/laptop,Smartphone,Television",,"Local news (e.g., TV, radio)",,"Community sources (e.g., friends, family, social groups),Local government (e.g., city, state),Social media (e.g., Facebook, Twitter/X, Instagram, Nextdoor app)",,,,Very,,,,,,,,,Moderately,Very,,Extremely,,,,,,"Evacuation orders/mandatory notices,Rainfall forecast,School and workplace closure notices",,Somewhat easy,,Somewhat easy,,,,Somewhat easy,,,,,,"National Weather Service,Nola Ready (City of New Orleans),Utility providers (e.g., Entergy)",,Very influential,"Local news station apps (e.g., 4WWL),NOLA Ready,Social media (e.g., Facebook, Instagram, Twitter/X)",,"Conflicting information from different sources,Difficulty finding neighborhood-level information,Internet and cell data outages",,"Clearer written instructions (e.g., flood safety tips, shelter guidelines),Clearer visual resources (e.g., flood maps, potential road closures, distribution points),Local, neighborhood-scale information,Trusted messengers (e.g., community organizations)",,Always,Not applicable,,I am not affiliated with any community organizations.,,I own my home.,Yes,Yes,"Car insurance,Homeowner’s Insurance,Health Insurance,Life insurance",,18-34,"Bachelor’s Degree (e.g., 4-year university)","$50,000 to $74,999",Black or African American,,No,Female,,Hearing difficulty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intense flood,before,4346703
English V1,11/6/2025 9:33 AM PST,11/6/2025 8:45:04,11/6/2025 8:59:54,100,889,True,11/6/2025 8:59:54,R_7t8YIWF4edK4sNZ,1,70125,,Over 20 years,Yes,"Yes, I consent to participate in this study and am at least 18 years of age.",Both equally important,Before the event (preparation),"Uninsured home damage,Uninsured car,Uninsured furniture or other assets,Inability to work due to weather,Insurance not fully covering home damage,Insurance not fully covering car damage,Insurance deductible,Loss of income",,"In person (i.e., word of mouth),Radio,Smartphone,Tablet,Television",,Text alerts or emergency notifications,,"Community sources (e.g., friends, family, social groups)",,,,,,,,Extremely,,,,,Extremely,,,,,,,,,Evacuation orders/mandatory notices,,Very easy,,,,,,,,,,,,National Weather Service,,Very influential,"Local news station apps (e.g., 4WWL)",,Internet and cell data outages,,"Local, neighborhood-scale information",,Often,Not applicable,,Neighborhood associations,,I rent my home.,Yes,No,"Car insurance,Health Insurance,Life insurance",,65+,"Less than a high school diploma (e.g., Secondary school or preparatory school diploma), or equivalent","$15,000 to $24,999",Black or African American,,No,Female,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intense flood,before,15984202
English V1,11/6/2025 9:33 AM PST,11/6/2025 8:49:54,11/6/2025 9:01:10,100,675,True,11/6/2025 9:01:11,R_7jTFecOuumHflcw,1,70118,,6-10 years,Yes,"Yes, I consent to participate in this study and am at least 18 years of age.",Flash Floods,Before the event (preparation),"Uninsured home damage,Uninsured car,Uninsured furniture or other assets,Inability to work due to weather,Insurance not fully covering home damage,Insurance not fully covering car damage,Insurance deductible,Loss of income",,"Computer/laptop,Radio,Smartphone,Tablet",,"Local news (e.g., TV, radio)",,"Community sources (e.g., friends, family, social groups),Local news (e.g., TV, radio),Online search (e.g., Google, Safari)",,,,Extremely,,,,,,,,,Very,,Very,,Very,,,,,"Evacuation orders/mandatory notices,Rainfall forecast,Rules about parking on neutral ground,Sandbag pickup,School and workplace closure notices,Status of drainage pumps",,Somewhat easy,,Somewhat easy,Neither easy nor difficult,,Somewhat easy,Somewhat easy,Somewhat easy,,,,,National Weather Service,,Very influential,"Local news station apps (e.g., 4WWL),Weather apps",,"Difficulty finding neighborhood-level information,Internet and cell data outages,Power outages",,"Clearer visual resources (e.g., flood maps, potential road closures, distribution points),Local, neighborhood-scale information",,Always,Not applicable,,Neighborhood associations,,I rent my home.,No,No,,,35-54,"Associate's Degree or Technical Degree/Certification (e.g., Junior/community college)","$15,000 to $24,999",Black or African American,,No,Female,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,flash flood,before,27962497
English V1,11/6/2025 9:33 AM PST,11/6/2025 9:04:07,11/6/2025 9:13:09,100,542,True,11/6/2025 9:13:10,R_1MVOhA2CX7aFKGM,1,70125,,1-5 years,Yes,"Yes, I consent to participate in this study and am at least 18 years of age.",Both equally important,Before the event (preparation),"Uninsured car,Loss of income",,"Computer/laptop,Radio,Smartphone,Television",,Text alerts or emergency notifications,,I was able to quickly find the information I needed.,,,,,,,,Extremely,,,,,,,,,,,,,Extremely,"Evacuation orders/mandatory notices,Status of drainage pumps,Transportation updates (e.g., public transit, road closures)",,Very easy,,,,,,,Somewhat easy,Very easy,,,,National Weather Service,,Extremely influential,"Local news station apps (e.g., 4WWL),Weather apps",,"Power outages,Misinformation/Incorrect information",,"Clearer written instructions (e.g., flood safety tips, shelter guidelines),Local, neighborhood-scale information",,Always,Not applicable,,Neighborhood associations,,I rent my home.,Yes,No,"Car insurance,Health Insurance",,65+,"Bachelor’s Degree (e.g., 4-year university)","$25,000 to $34,999",Black or African American,,No,Female,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intense flood,before,32958700
English V1,11/6/2025 9:33 AM PST,11/6/2025 9:26:25,11/6/2025 9:38:28,100,722,True,11/6/2025 9:38:28,R_12flIAUgQm0p8KJ,1,70118,,1-5 years,Yes,"Yes, I consent to participate in this study and am at least 18 years of age.",Both equally important,Before the event (preparation),Uninsured home damage,,"Computer/laptop,Radio,Television",,Text alerts or emergency notifications,,"Local news (e.g., TV, radio)",,,,,,,,Very,,,,,,,Very,,,,,,,"Evacuation orders/mandatory notices,Shelter opening,Sandbag pickup,School and workplace closure notices,Transportation updates (e.g., public transit, road closures)",,,,,,Neither easy nor difficult,Neither easy nor difficult,,,Neither easy nor difficult,,,,"National Weather Service,Nola Ready (City of New Orleans)",,Very influential,"Local news station apps (e.g., 4WWL),NOLA Ready",,I have not faced challenges in accessing information in the event of flash floods or hurricanes.,,"Clearer written instructions (e.g., flood safety tips, shelter guidelines)",,Sometimes,Not applicable,,"Emergency Legal Responders (ELR),Mutual Aid Disaster Relief (MADR),Neighborhood associations",,I do not rent or own my home.,No,No,,,55-64,"Less than a high school diploma (e.g., Secondary school or preparatory school diploma), or equivalent","Less than $10,000",Black or African American,,No,Female,,Prefer not to answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intense flood,before,24068265
English V1,11/6/2025 9:33 AM PST,11/6/2025 9:39:24,11/6/2025 10:01:52,100,1348,True,11/6/2025 10:01:53,R_6Hv89Tz4TCxKK25,1,70118,,Over 20 years,Yes,"Yes, I consent to participate in this study and am at least 18 years of age.",Hurricanes,Before the event (preparation),"Uninsured home damage,Uninsured furniture or other assets,Insurance not fully covering home damage",,"In person (i.e., word of mouth),Smartphone,Television",,"Local news (e.g., TV, radio)",,"Local news (e.g., TV, radio)",,,,Extremely,,,,,,,,,,,Extremely,,,,,,,"Evacuation orders/mandatory notices,Guidance on protecting property (e.g., flood proofing, insurance, pets),Rainfall forecast,Rules about parking on neutral ground,Shelter opening,Sandbag pickup,School and workplace closure notices,Status of drainage pumps,Transportation updates (e.g., public transit, road closures)",,Somewhat easy,Somewhat difficult,Somewhat difficult,Somewhat difficult,Somewhat difficult,Somewhat difficult,Somewhat difficult,Somewhat difficult,Somewhat difficult,,,,"National Weather Service,Utility providers (e.g., Entergy)",,Moderately influential,I do not use mobile apps.,,I have not faced challenges in accessing information in the event of flash floods or hurricanes.,,"Clearer written instructions (e.g., flood safety tips, shelter guidelines),Clearer visual resources (e.g., flood maps, potential road closures, distribution points),In-person support (e.g., local organizers),Local, neighborhood-scale information,Multiple, accessible formats (e.g., visuals, videos, large print, screen readers, captions),Trusted messengers (e.g., community organizations)",,Rarely,Creole,,Neighborhood associations,,I rent my home.,Yes,No,Life insurance,,Prefer not to respond,Prefer not to answer,"Less than $10,000",Black or African American,,No,Female,,Prefer not to answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hurricane,before,11735782
English V1,11/6/2025 11:23 AM PST,11/6/2025 10:33:57,11/6/2025 10:43:08,100,551,True,11/6/2025 10:43:08,R_5RZZj3cy0NNhubK,1,70118,,1-5 years,Yes,"Yes, I consent to participate in this study and am at least 18 years of age.",Both equally important,Before the event (preparation),"Uninsured home damage,Uninsured car,Loss of income,Other (please specify)",No way to travel to safety.,"Computer/laptop,In person (i.e., word of mouth),Smartphone",,"Online search (e.g., Google, Safari)",,"Social media (e.g., Facebook, Twitter/X, Instagram, Nextdoor app),Online search (e.g., Google, Safari)",,,,,,Moderately,,,,,,,,,,Very,Moderately,,,,,"Evacuation orders/mandatory notices,Guidance on protecting property (e.g., flood proofing, insurance, pets),Transportation updates (e.g., public transit, road closures)",,Somewhat easy,Somewhat easy,,,,,,,Somewhat easy,,,,"National Weather Service,Utility providers (e.g., Entergy)",,Moderately influential,"Local news station apps (e.g., 4WWL),Social media (e.g., Facebook, Instagram, Twitter/X),Weather apps",,"Conflicting information from different sources,Internet and cell data outages,Power outages",,"Clearer written instructions (e.g., flood safety tips, shelter guidelines),Local, neighborhood-scale information,Multiple, accessible formats (e.g., visuals, videos, large print, screen readers, captions)",,Often,Not applicable,,Neighborhood associations,,I rent my home.,No,No,,,35-54,"Bachelor’s Degree (e.g., 4-year university)","$50,000 to $74,999",Black or African American,,No,Male,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intense flood,before,46654201
English V1,11/6/2025 11:23 AM PST,11/6/2025 10:46:27,11/6/2025 11:14:17,100,1669,True,11/6/2025 11:14:17,R_3ihj7bg2I1WHOQ9,1,Other,70119,11-20 years,Yes,"Yes, I consent to participate in this study and am at least 18 years of age.",Both equally important,Before the event (preparation),"Uninsured home damage,Uninsured furniture or other assets,Insurance not fully covering home damage,Insurance not fully covering car damage",,"Computer/laptop,In person (i.e., word of mouth),Radio,Smartphone,Television",,Text alerts or emergency notifications,,"Community sources (e.g., friends, family, social groups),Local news (e.g., TV, radio),Online search (e.g., Google, Safari)",,,,,,,,Very,,,,,Very,,Extremely,,Very,,,,,"Evacuation orders/mandatory notices,Guidance on protecting property (e.g., flood proofing, insurance, pets),Rainfall forecast,Rules about parking on neutral ground,Status of drainage pumps",,Somewhat easy,Somewhat easy,Very easy,Very easy,,,,Somewhat easy,,,,,"National Weather Service,Nola Ready (City of New Orleans),Utility providers (e.g., Entergy)",,Very influential,"Local news station apps (e.g., 4WWL),NOLA Ready,Social media (e.g., Facebook, Instagram, Twitter/X),Weather apps",,"Difficulty finding neighborhood-level information,Accessing a smartphone or other device,Internet and cell data outages,Power outages",,"Clearer written instructions (e.g., flood safety tips, shelter guidelines),Clearer visual resources (e.g., flood maps, potential road closures, distribution points),Local, neighborhood-scale information,Multiple, accessible formats (e.g., visuals, videos, large print, screen readers, captions)",,Always,Not applicable,,"Faith-based organizations,Neighborhood associations",,I rent my home.,No,No,,,65+,"Bachelor’s Degree (e.g., 4-year university)","$50,000 to $74,999",Black or African American,,No,Female,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intense flood,before,40022133
English V1,11/6/2025 11:23 AM PST,11/6/2025 10:38:01,11/6/2025 11:14:48,100,2206,True,11/6/2025 11:14:48,R_6VpCBsMybdBETuK,0.8999999761581420,70117,,6-10 years,Yes,"Yes, I consent to participate in this study and am at least 18 years of age.",Both equally important,During the event,"Uninsured car,Inability to work due to weather,Insurance not fully covering car damage,Loss of income",,"Computer/laptop,In person (i.e., word of mouth),Smartphone",,"Social media (e.g., Facebook, Twitter/X, Instagram, Nextdoor app)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intense flood,during,25396108
English V1,11/6/2025 11:23 AM PST,11/6/2025 10:37:37,11/6/2025 11:17:00,100,2362,True,11/6/2025 11:17:00,R_1DO7V9xeYq7GsAQ,0.8999999761581420,70118,,Over 20 years,Yes,"Yes, I consent to participate in this study and am at least 18 years of age.",Both equally important,Before the event (preparation),"Inability to work due to weather,Insurance deductible,Loss of income",,"Computer/laptop,In person (i.e., word of mouth),Radio,Smartphone,Tablet,Television",,"Local government (e.g., city, state)",,"Community sources (e.g., friends, family, social groups)",,,Extremely,,,,,,,,,,Moderately,,,,,,,,,"Evacuation orders/mandatory notices,Guidance on protecting property (e.g., flood proofing, insurance, pets),Rainfall forecast,Rules about parking on neutral ground,Shelter opening,Sandbag pickup,School and workplace closure notices,Status of drainage pumps,Transportation updates (e.g., public transit, road closures)",,Somewhat difficult,Somewhat easy,Very easy,Very easy,Somewhat easy,Somewhat easy,,,,,,,"Utility providers (e.g., Entergy),Other (please specify)",National news,Extremely influential,I do not use mobile apps.,,Difficulty finding neighborhood-level information,,"Local, neighborhood-scale information,Multiple, accessible formats (e.g., visuals, videos, large print, screen readers, captions),Trusted messengers (e.g., community organizations)",,Sometimes,Not applicable,,Neighborhood associations,,I own my home.,Yes,Yes,"Car insurance,Homeowner’s Insurance,Health Insurance,Life insurance",,65+,,"$35,000 to $49,999",Black or African American,,No,Female,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intense flood,before,1050647
English V1,11/6/2025 11:23 AM PST,11/6/2025 11:17:48,11/6/2025 11:29:30,100,701,True,11/6/2025 11:29:30,R_3JEme3eR4Z0FIob,1,70121,,Less than 1 year,Yes,"Yes, I consent to participate in this study and am at least 18 years of age.",Flash Floods,Before the event (preparation),Uninsured car,,"In person (i.e., word of mouth),Smartphone",,"Community sources (e.g., friends, family, social groups)",,"Community sources (e.g., friends, family, social groups)",,Very,,,,,,,,,,,Very,,,,,,,,,I do not look for any information.,,,,,,,,,,,,,,Nola Ready (City of New Orleans),,Moderately influential,"NOLA Ready,Social media (e.g., Facebook, Instagram, Twitter/X)",,"Conflicting information from different sources,Information is too too difficult to understand",,"Clearer visual resources (e.g., flood maps, potential road closures, distribution points),In-person support (e.g., local organizers),Multiple, accessible formats (e.g., visuals, videos, large print, screen readers, captions),Trusted messengers (e.g., community organizations)",,Always,Not applicable,,"Faith-based organizations,Neighborhood associations",,I do not rent or own my home.,No,No,,,55-64,Some college,"Less than $10,000",Black or African American,,No,Female,,"Hearing difficulty,Vision difficulty,Mobility difficulty,Memory, concentration, or decision-making difficulty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,flash flood,before,43365371
English V1,11/6/2025 11:23 AM PST,11/6/2025 11:14:58,11/6/2025 11:31:56,100,1017,True,11/6/2025 11:31:57,R_369DLZJVgkEwRMu,0.8999999761581420,70118,,Over 20 years,Yes,"Yes, I consent to participate in this study and am at least 18 years of age.",Both equally important,Before the event (preparation),I am not worried about covering expenses,,"Computer/laptop,In person (i.e., word of mouth),Radio,Television",,Text alerts or emergency notifications,,"Community sources (e.g., friends, family, social groups),Local government (e.g., city, state),Local news (e.g., TV, radio),Online search (e.g., Google, Safari)",,,,,,,,Extremely,,,,,Extremely,Very,Extremely,,Extremely,,,,,"Evacuation orders/mandatory notices,Guidance on protecting property (e.g., flood proofing, insurance, pets),Rainfall forecast,Status of drainage pumps,Transportation updates (e.g., public transit, road closures)",,Neither easy nor difficult,Somewhat difficult,,,,,,Somewhat difficult,Somewhat difficult,,,,"Nola Ready (City of New Orleans),Utility providers (e.g., Entergy)",,Very influential,"Local news station apps (e.g., 4WWL),NOLA Ready",,"Accessing a smartphone or other device,Internet and cell data outages",,"Clearer written instructions (e.g., flood safety tips, shelter guidelines),Clearer visual resources (e.g., flood maps, potential road closures, distribution points),Multiple, accessible formats (e.g., visuals, videos, large print, screen readers, captions),Trusted messengers (e.g., community organizations)",,Sometimes,Not applicable,,Neighborhood associations,,I own my home.,No,I do not know,,,65+,"High school diploma, GED, or equivalent (e.g., Secondary school or preparatory school diploma)","$15,000 to $24,999",Black or African American,,,Female,,Prefer not to answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intense flood,before,12466110
English V1,11/6/2025 11:23 AM PST,11/6/2025 11:31:35,11/6/2025 11:42:49,100,674,True,11/6/2025 11:42:50,R_3a5HSOLc2aF7fUJ,1,70118,,Over 20 years,Yes,"Yes, I consent to participate in this study and am at least 18 years of age.",Hurricanes,Before the event (preparation),Other (please specify),Home damage and being displaced,Television,,"Local news (e.g., TV, radio)",,"Community sources (e.g., friends, family, social groups)",,,,Extremely,,,,,,,,,Very,,,,,,,,,"Evacuation orders/mandatory notices,Sandbag pickup,Status of drainage pumps",,Somewhat easy,,,,,Somewhat easy,,Somewhat easy,,,,,I do not know which agency sends texts,,,I do not use mobile apps.,,Power outages,,"In-person support (e.g., local organizers),Trusted messengers (e.g., community organizations)",,Always,Not applicable,,Neighborhood associations,,I do not rent or own my home.,No,I do not know,,,65+,"High school diploma, GED, or equivalent (e.g., Secondary school or preparatory school diploma)","Less than $10,000",Black or African American,,No,Female,,"Mobility difficulty,Memory, concentration, or decision-making difficulty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hurricane,before,45348256
