Survey Version,Date Added To Spreadsheet,StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,Q_RecaptchaScore,2,2b,3,4,5,6,7,8,8_8_TEXT,9,9_7_TEXT,10,10_8_TEXT,11,11_6_TEXT,12_1,12_2,12_3,12_4,12_5,12_6,12_7,12_8,12_8_TEXT,12_9,13_1,13_2,13_3,13_4,13_5,13_6,13_7,13_7_TEXT,13_8,13_9,14,14_10_TEXT,15_1,15_2,15_3,15_4,15_5,15_6,15_7,15_8,15_9,15_10,15_10_TEXT,15_11,16,16_4_TEXT,17,18,18_10_TEXT,19,19_5_TEXT,20,20_5_TEXT,21,22,22_5_TEXT,53,53_7_TEXT,54,55,56,57,57_6_TEXT,58,59,60,61,61_6_TEXT,62,63,63_4_TEXT,64,64_5_TEXT,23,23_10_TEXT,24_1,24_2,24_3,24_4,24_5,24_6,24_7,24_8,24_9,24_10,24_10_TEXT,24_11,25,25_4_TEXT,26,27,28,28_10_TEXT,29,29_11_TEXT,30,30_5_TEXT,31,32,32_5_TEXT,33,33_6_TEXT,34_1,34_2,34_3,34_4,34_5,34_6,34_6_TEXT,34_7,35,35_4_TEXT,36,37,38,39,39_12_TEXT,40,40_12_TEXT,41,41_5_TEXT,42,43,43_5_TEXT,44,44_7_TEXT,45_1,45_2,45_3,45_4,45_5,45_6,45_7,45_7_TEXT,45_8,46_1,46_2,46_3,46_4,46_5,46_6,46_7,46_7_TEXT,46_8,47,47_10_TEXT,48,48_12_TEXT,49,49_10_TEXT,50,50_5_TEXT,51,52,52_5_TEXT,WeatherEvent,TimePer,Participant ID
Vietnamese,11/11/2025 2:03 PM PST,11/11/2025 7:10:26,11/11/2025 7:27:49,100,1043,True,11/11/2025 7:27:49,R_1ANAaCpjW0T4KCo,1,70126,,Hơn 20 năm,Đã từng,"Có, tôi đồng ý tham gia nghiên cứu này và tôi từ 18 tuổi trở lên.",Cả hai đều quan trọng,Trước sự kiện (chuẩn bị),,,Máy tính/máy tính xách tay,,"Tin tức địa phương (ví dụ: TV, radio)",,"Các nguồn cộng đồng (ví dụ: bạn bè, gia đình, nhóm xã hội)",,,,Thường xuyên,,,,,,,,,,,,,,,,,,Lệnh sơ tán/thông báo bắt buộc,,Rất khó,,,,,,,,,,,,Nhà cung cấp tiện ích (ví dụ: Entergy),,Có ảnh hưởng vừa phải,Ứng dụng thời tiết,,Mất điện,,"Nhiều định dạng có thể truy cập được (ví dụ: hình ảnh, video, chữ in lớn, trình đọc màn hình, phụ đề)",,Thường thường,Khác (vui lòng ghi rõ),TIENG ANH,Các tổ chức tôn giáo,,Tôi sở hữu ngôi nhà của mình.,Có,,Bảo hiểm nhân thọ,,65+,Không muốn trả lời,"Ít hơn $10,000",Người Châu Á,,,Nữ,,Khó khăn về thính giác,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bão,trước,V26096692
Vietnamese,11/11/2025 2:03 PM PST,11/11/2025 7:08:28,11/11/2025 7:33:07,100,1478,True,11/11/2025 7:33:07,R_6xyE7IQhtVp3VkK,1,70130,,Hơn 20 năm,Đã từng,"Có, tôi đồng ý tham gia nghiên cứu này và tôi từ 18 tuổi trở lên.",Cả hai đều quan trọng,Trước sự kiện (chuẩn bị),"Thiệt hại nhà không có bảo hiểm,Đồ đạc hoặc tài sản khác không có bảo hiểm,Bảo hiểm không chi trả đầy đủ thiệt hại cho xe",,Điện thoại thông minh,,"Chính quyền địa phương (ví dụ: thành phố, tiểu bang)",,"Tin tức địa phương (ví dụ: TV, radio)",,,Thường xuyên,,,,,,,,,,,,Rất tin,,,,,,,Lệnh sơ tán/thông báo bắt buộc,,Dễ,,,,,,,,,,,,Nola Ready (Thành phố New Orleans),,Không hề có ảnh hưởng,Ứng dụng đài tin tức địa phương (ví dụ: 4WWL),,Truy cập điện thoại thông minh hoặc thiết bị khác,,"Hướng dẫn bằng văn bản rõ ràng hơn (ví dụ: mẹo an toàn phòng chống lũ lụt, hướng dẫn về nơi trú ẩn)",,Luôn luôn,Khác (vui lòng ghi rõ),Tieng anh,Các tổ chức tôn giáo,,Tôi sở hữu ngôi nhà của mình.,Không,,,,65+,Bằng tốt nghiệp thấp hơn bằng tốt nghiệp trung học phổ thông (ví dụ: bằng tốt nghiệp trung học cơ sở hoặc trường dự bị) hoặc tương đương,"$10,000 đến $14,999",Người Châu Á,,Không,Nữ,,Không có,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bão,trước,V37436040
Vietnamese,11/11/2025 2:03 PM PST,11/11/2025 6:54:03,11/11/2025 7:33:53,100,2390,True,11/11/2025 7:33:54,R_6jvQWZJDCK0NrpX,1,Khác,70129,Hơn 20 năm,Đã từng,"Có, tôi đồng ý tham gia nghiên cứu này và tôi từ 18 tuổi trở lên.",Cả hai đều quan trọng,Trước sự kiện (chuẩn bị),"Thiệt hại nhà không có bảo hiểm,Xe không có bảo hiểm,Đồ đạc hoặc tài sản khác không có bảo hiểm",,"Trực tiếp (tức là truyền miệng),Điện thoại thông minh",,,,"Chính quyền địa phương (ví dụ: thành phố, tiểu bang)",,,,,,,,,,,,,,Tin,,,,,,,,Lệnh sơ tán/thông báo bắt buộc,,Không dễ cũng không khó,,,,,,,,,,,,Tôi không biết cơ quan nào gửi tin nhắn văn bản,,Rất có ảnh hưởng,,,"Mất kết nối Internet và dữ liệu di động,Mất điện",,Tôi không có bất kỳ vấn đề nào với thông tin lũ lụt có sẵn.,,Luôn luôn,Khác (vui lòng ghi rõ),Tieng anh,,,Tôi không thuê hoặc sở hữu nhà của mình.,Không,Không,,,Không muốn trả lời,Không muốn trả lời,"Ít hơn $10,000",Người Châu Á,,,Nữ,,"Khó khăn về thính giác,Khó khăn về thị lực",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bão,trước,V26131402
Vietnamese,11/11/2025 2:03 PM PST,11/11/2025 7:09:25,11/11/2025 7:37:14,100,1668,True,11/11/2025 7:37:14,R_6vZDhEp70wD6uua,1,70130,,Hơn 20 năm,Đã từng,"Có, tôi đồng ý tham gia nghiên cứu này và tôi từ 18 tuổi trở lên.",Lũ quét,Phục hồi lâu dài sau sự kiện,"Đồ đạc hoặc tài sản khác không có bảo hiểm,Bảo hiểm không chi trả đầy đủ thiệt hại cho ngôi nhà",,Điện thoại thông minh,,Cảnh báo văn bản hoặc thông báo khẩn cấp,,"Chính quyền địa phương (ví dụ: thành phố, tiểu bang)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Imagine WaterWorks,Cứu trợ thiên tai hỗ trợ lẫn nhau (MADR),Khác (vui lòng ghi rõ)","In TV
",,,,,,55-64,Bằng tốt nghiệp thấp hơn bằng tốt nghiệp trung học phổ thông (ví dụ: bằng tốt nghiệp trung học cơ sở hoặc trường dự bị) hoặc tương đương,"$35,000 đến $49,999",Người Châu Á,,Không,Nữ,,"Khó khăn về trí nhớ, khả năng tập trung hoặc khó khăn trong việc ra quyết định",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tìm thợ sửa chữa hoặc nhà thầu,Hoạt động tình nguyện (ví dụ: cách giúp đỡ trong quá trình phục hồi và dọn dẹp)",,,Từ 6 tháng đến 1 năm,,,,,,,,,Rất khó,,,,Rất khó,,,,"Nhà thầu/sửa chữa cơ sở hạ tầng,Các địa điểm phân phối thực phẩm hoặc vật tư,An toàn và sửa chữa ngắn hạn (ví dụ: che bạt),Khác (vui lòng ghi rõ)",Na,"American Red Cross App,Ứng dụng thời tiết",,Tôi chưa bao giờ gặp khó khăn trong việc tiếp cận thông tin khi xảy ra lũ quét hoặc bão.,,"Thông tin địa phương, quy mô khu phố,Người đưa tin đáng tin cậy (ví dụ: các tổ chức cộng đồng)",,Hiếm khi,Tiếng Việt,,lũ quét,để phục hồi từ,V6222366
Vietnamese,11/11/2025 2:03 PM PST,11/11/2025 7:28:27,11/11/2025 7:38:00,100,573,True,11/11/2025 7:38:01,R_7dusJTGHqWKHCPa,1,Khác,10729,Hơn 20 năm,Đã từng,"Có, tôi đồng ý tham gia nghiên cứu này và tôi từ 18 tuổi trở lên.",Bão,Trước sự kiện (chuẩn bị),Đồ đạc hoặc tài sản khác không có bảo hiểm,,Máy tính/máy tính xách tay,,"Chính quyền địa phương (ví dụ: thành phố, tiểu bang)",,"Chính quyền địa phương (ví dụ: thành phố, tiểu bang)",,,Đôi khi,,,,,,,,,,,Vô cùng tin,,,,,,,,Lệnh sơ tán/thông báo bắt buộc,,Rất khó,,,,,,,,,,,,Cơ quan thời tiết quốc gia,,Không hề có ảnh hưởng,Ứng dụng đài tin tức địa phương (ví dụ: 4WWL),,Thông tin không có sẵn bằng ngôn ngữ của tôi,,"Hướng dẫn bằng văn bản rõ ràng hơn (ví dụ: mẹo an toàn phòng chống lũ lụt, hướng dẫn về nơi trú ẩn)",,Thỉnh thoảng,Khác (vui lòng ghi rõ),Teng anh,Các tổ chức tôn giáo,,Tôi sở hữu ngôi nhà của mình.,Có,,Bảo hiểm chủ nhà,,65+,Không muốn trả lời,"Ít hơn $10,000",Người Châu Á,,,Nữ,,"Khó khăn về thính giác,Khó khăn về trí nhớ, khả năng tập trung hoặc khó khăn trong việc ra quyết định",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bão lớn,trước,V41150701
Vietnamese,11/11/2025 2:03 PM PST,11/11/2025 6:53:08,11/11/2025 7:38:05,100,2696,True,11/11/2025 7:38:05,R_7n6mogzRh1nV1yU,1,70130,,11-20 năm,Đã từng,"Có, tôi đồng ý tham gia nghiên cứu này và tôi từ 18 tuổi trở lên.",Bão,Trước sự kiện (chuẩn bị),"Thiệt hại nhà không có bảo hiểm,Xe không có bảo hiểm,Đồ đạc hoặc tài sản khác không có bảo hiểm,Không thể làm việc do thời tiết,Bảo hiểm không chi trả đầy đủ thiệt hại cho ngôi nhà",,"Máy tính/máy tính xách tay,Trực tiếp (tức là truyền miệng),Radio,Điện thoại thông minh,Máy tính bảng",,Tôi không tìm kiếm thêm thông tin.,,,,,,,,,,,,,,,,,,,,,,,,Tôi không tìm kiếm bất kỳ thông tin nào,,,,,,,,,,,,,,Tôi không nhận được thông báo qua tin nhắn văn bản hoặc ứng dụng,,Cực kỳ có ảnh hưởng,Tôi không sử dụng ứng dụng di động.,,"Thông tin mâu thuẫn từ các nguồn khác nhau,Khó khăn trong việc tìm kiếm thông tin ở cấp độ khu vực lân cận,Thông tin quá khó để hiểu,Thông tin không có sẵn bằng ngôn ngữ của tôi,Truy cập điện thoại thông minh hoặc thiết bị khác,Mất kết nối Internet và dữ liệu di động,Mất điện,Thông tin sai lệch/Thông tin không chính xác,Khác (vui lòng ghi rõ)",Na,"Hướng dẫn bằng văn bản rõ ràng hơn (ví dụ: mẹo an toàn phòng chống lũ lụt, hướng dẫn về nơi trú ẩn),Các nguồn trực quan rõ ràng hơn (ví dụ: bản đồ lũ lụt, các tuyến đường có thể bị đóng, các điểm phân phối),Hỗ trợ trực tiếp (ví dụ: người tổ chức địa phương),Thông tin địa phương, quy mô khu phố,Nhiều định dạng có thể truy cập được (ví dụ: hình ảnh, video, chữ in lớn, trình đọc màn hình, phụ đề),Người đưa tin đáng tin cậy (ví dụ: các tổ chức cộng đồng),Khác (vui lòng ghi rõ)",Na,Luôn luôn,Khác (vui lòng ghi rõ),Vietnamese,"Common Ground (Điểm chung),Người ứng phó pháp lý khẩn cấp (ELR),Các tổ chức tôn giáo,Imagine WaterWorks,Cứu trợ thiên tai hỗ trợ lẫn nhau (MADR),Hiệp hội khu phố,Khác (vui lòng ghi rõ)",Viet community center,Tôi sở hữu ngôi nhà của mình.,Không,Không,,,65+,Bằng tốt nghiệp thấp hơn bằng tốt nghiệp trung học phổ thông (ví dụ: bằng tốt nghiệp trung học cơ sở hoặc trường dự bị) hoặc tương đương,"Ít hơn $10,000",Người Châu Á,,Không,Nữ,,Không có,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bão lớn,trước,V24060248
Vietnamese,11/11/2025 2:03 PM PST,11/11/2025 7:33:38,11/11/2025 7:47:46,100,847,True,11/11/2025 7:47:47,R_5lyiczQzAnyy7GX,1,Khác,70129,Hơn 20 năm,Đã từng,"Có, tôi đồng ý tham gia nghiên cứu này và tôi từ 18 tuổi trở lên.",Cả hai đều quan trọng,Phục hồi lâu dài sau sự kiện,"Đồ đạc hoặc tài sản khác không có bảo hiểm,Bảo hiểm không chi trả đầy đủ thiệt hại cho ngôi nhà,Bảo hiểm không chi trả đầy đủ thiệt hại cho xe,Mất thu nhập",,"Radio,Điện thoại thông minh,Máy tính bảng,Tivi",,"Phương tiện truyền thông xã hội (ví dụ: Facebook, Twitter/X, Instagram, ứng dụng Nextdoor)",,"Phương tiện truyền thông xã hội (ví dụ: Facebook, Twitter/X, Instagram, ứng dụng Nextdoor),Tìm kiếm trực tuyến (ví dụ: Google, Safari)",,,,,,,,,,,,,,,,Không,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Các tổ chức tôn giáo,Cứu trợ thiên tai hỗ trợ lẫn nhau (MADR)",,Tôi sở hữu ngôi nhà của mình.,Có,Có,"Bảo hiểm ô tô,Bảo hiểm chủ nhà,Bảo hiểm y tế,Bảo hiểm nhân thọ",,,,"$25,000 đến $34,999",Người Châu Á,,,Nữ,,"Khó khăn về Khả năng vận động,Khó khăn về trí nhớ, khả năng tập trung hoặc khó khăn trong việc ra quyết định",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bảo hiểm,Nơi trú ẩn và dịch vụ khẩn cấp,Hoạt động tình nguyện (ví dụ: cách giúp đỡ trong quá trình phục hồi và dọn dẹp)",,,,,,,,,,,,,,Rất khó,,Rất khó,,,,"Nhà thầu/sửa chữa cơ sở hạ tầng,Các lựa chọn nhà ở hoặc nơi trú ẩn tạm thời,Các địa điểm phân phối thực phẩm hoặc vật tư,Bảo hiểm,Y tế,An toàn và sửa chữa ngắn hạn (ví dụ: che bạt),Quyền của người thuê nhà và các mối quan tâm khác về nhà ở,Tình nguyện viên địa phương hoặc hỗ trợ lẫn nhau",,,,"Tiếp cận nguồn điện,Tiếp cận internet,Tiếp cận công nghệ (ví dụ: không có máy tính, hạn chế truy cập điện thoại, màn hình nhỏ),Quy trình thủ tục giấy tờ phức tạp (ví dụ: FEMA, bảo hiểm hoặc cứu trợ),Khó khăn trong việc xác minh tính chính xác của thông tin,Thông tin quá khó hiểu,Thiếu cập nhật theo thời gian (tức là thông tin dừng lại quá sớm),Thông tin không có sẵn bằng ngôn ngữ của tôi",,,,Thường xuyên,,,bão,để phục hồi từ,V15758749
Vietnamese,11/11/2025 2:03 PM PST,11/11/2025 7:37:37,11/11/2025 7:49:30,100,712,True,11/11/2025 7:49:30,R_3LcXxMxYN2PUkEx,1,70130,,Hơn 20 năm,Đã từng,"Có, tôi đồng ý tham gia nghiên cứu này và tôi từ 18 tuổi trở lên.",Cả hai đều quan trọng,Phục hồi lâu dài sau sự kiện,Đồ đạc hoặc tài sản khác không có bảo hiểm,,Điện thoại thông minh,,"Tin tức địa phương (ví dụ: TV, radio)",,"Chính quyền địa phương (ví dụ: thành phố, tiểu bang)",,,,Vô cùng thường xuyên,,,,,,,,,,Rất tin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tôi sở hữu ngôi nhà của mình.,Có,,Bảo hiểm y tế,,65+,Bằng tốt nghiệp thấp hơn bằng tốt nghiệp trung học phổ thông (ví dụ: bằng tốt nghiệp trung học cơ sở hoặc trường dự bị) hoặc tương đương,"$25,000 đến $34,999","Người Châu Á,Khác (vui lòng ghi rõ)",Community center,Không,Nam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bảo hiểm,,,,,6 tuần đầu tiên,,,,,,,,,Không dễ cũng không khó,,,,,,Bảo hiểm,,Ứng dụng thời tiết,,"Không tin tưởng vào các nguồn thông tin (ví dụ: FEMA, United Way, Arc)",,Người đưa tin đáng tin cậy (ví dụ: các tổ chức cộng đồng),,Đôi khi,Tiếng Việt,,bão,để phục hồi từ,V47152354
Vietnamese,11/11/2025 2:03 PM PST,11/11/2025 7:40:04,11/11/2025 7:51:31,100,686,True,11/11/2025 7:51:31,R_3EiEYxksZlQMUlU,1,70130,,Hơn 20 năm,Đã từng,"Có, tôi đồng ý tham gia nghiên cứu này và tôi từ 18 tuổi trở lên.",Cả hai đều quan trọng,Trước sự kiện (chuẩn bị),Tôi không lo lắng về việc trang trải chi phí,,Điện thoại thông minh,,"Chính quyền địa phương (ví dụ: thành phố, tiểu bang)",,"Các nguồn cộng đồng (ví dụ: bạn bè, gia đình, nhóm xã hội)",,,Thường xuyên,,,,,,,,,,,,,,,,,,,Lệnh sơ tán/thông báo bắt buộc,,Không dễ cũng không khó,,,,,,,,,,,,Cơ quan thời tiết quốc gia,,Có ảnh hưởng vừa phải,"Phương tiện truyền thông xã hội (ví dụ: Facebook, Instagram, Twitter/X)",,,,"Thông tin địa phương, quy mô khu phố",,Thỉnh thoảng,,,Các tổ chức tôn giáo,,Tôi sở hữu ngôi nhà của mình.,Có,,"Bảo hiểm ô tô,Bảo hiểm y tế",,65+,"Bằng tốt nghiệp trung học phổ thông, GED hoặc tương đương (ví dụ: bằng tốt nghiệp trung học phổ thông hoặc trường dự bị)","$10,000 đến $14,999",Người Châu Á,,,Nam,,Khó khăn về thị lực,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bão,trước,V45572414
Vietnamese,11/11/2025 2:03 PM PST,11/11/2025 7:38:59,11/11/2025 7:52:52,100,833,True,11/11/2025 7:52:53,R_7TrtYUrwuuQAxWx,1,70130,,Hơn 20 năm,Đã từng,"Có, tôi đồng ý tham gia nghiên cứu này và tôi từ 18 tuổi trở lên.",Cả hai đều quan trọng,Trước sự kiện (chuẩn bị),"Thiệt hại nhà không có bảo hiểm,Bảo hiểm không chi trả đầy đủ thiệt hại cho ngôi nhà",,Điện thoại thông minh,,"Tin tức địa phương (ví dụ: TV, radio)",,"Các nguồn cộng đồng (ví dụ: bạn bè, gia đình, nhóm xã hội),Chính quyền địa phương (ví dụ: thành phố, tiểu bang)",,,,Đôi khi,,,,,,,,,Tin,Tin,,,,,,,,Lệnh sơ tán/thông báo bắt buộc,,Dễ,,,,,,,,,,,,Nola Ready (Thành phố New Orleans),,Có ảnh hưởng vừa phải,"Phương tiện truyền thông xã hội (ví dụ: Facebook, Instagram, Twitter/X),211",,Mất điện,,Hỗ trợ trực tiếp (ví dụ: người tổ chức địa phương),,Thỉnh thoảng,Không áp dụng,,Các tổ chức tôn giáo,,Tôi sở hữu ngôi nhà của mình.,Không,Không,,,65+,Bằng tốt nghiệp thấp hơn bằng tốt nghiệp trung học phổ thông (ví dụ: bằng tốt nghiệp trung học cơ sở hoặc trường dự bị) hoặc tương đương,"$15,000 đến $24,999",Người Châu Á,,Không,Nam,,Không có,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bão,trước,V47310212
